index,boiling_point,py2opsin_smiles
1,-164,C
2,-88.6,CC
3,-42.1,CCC
4,-11.7,CC(C)C
5,-0.5,CCCC
6,9.5,CC(C)(C)C
7,27.8,CC(C)CC
8,36.1,CCCCC
9,49.7,CC(C)(CC)C
10,58,CC(C)C(C)C
11,60.3,CC(C)CCC
12,63.3,CC(CC)CC
13,69,CCCCCC
14,80.9,CC(C)(C(C)C)C
15,79.2,CC(C)(CCC)C
16,86.1,CC(CC)(CC)C
17,89.8,CC(C)C(CC)C
18,80.5,CC(C)CC(C)C
19,90,CC(C)CCCC
20,92,CC(CC)CCC
21,93.5,C(C)C(CC)CC
22,98.4,CCCCCCC
23,106.5,CC(C)(C(C)(C)C)C
24,110,CC(C)(C(CC)C)C
25,114.7,CC(C)C(CC)(C)C
26,99.2,CC(C)(CC(C)C)C
27,106.8,CC(C)(CCCC)C
28,112,CC(CC)(CCC)C
29,118.2,C(C)C(CC)(CC)C
30,113.4,CC(C)C(C(C)C)C
31,115.6,CC(C)C(CCC)C
32,115.6,C(C)C(C(C)C)CC
33,117.7,CC(CC)C(CC)C
34,109.4,CC(C)CC(CC)C
35,109,CC(C)CCC(C)C
36,117.6,CC(C)CCCCC
37,118,CC(CC)CCCC
38,117.7,CC(CCC)CCC
39,118.5,C(C)C(CC)CCC
40,125.7,CCCCCCCC
41,140.27,CC(C)(C(CC)(C)C)C
42,133,CC(C)(C(C(C)C)C)C
43,131.7,CC(C)(C(CCC)C)C
44,133.83,CC(C)(C(CC)CC)C
45,140.5,CC(CC)(C(CC)C)C
46,141.5,CC(C)C(C(C)C)(C)C
47,137.7,CC(C)C(CCC)(C)C
48,141.6,CC(C)C(CC)(CC)C
49,122.7,CC(C)(CC(C)(C)C)C
50,126.5,CC(C)(CC(CC)C)C
51,126.5,CC(C)CC(CC)(C)C
52,124,CC(C)(CCC(C)C)C
53,132.7,CC(C)(CCCCC)C
54,137.3,CC(CC)(CCCC)C
55,135.2,CC(CCC)(CCC)C
56,140.6,C(C)C(CC)(CCC)C
57,146.2,C(C)C(CC)(CC)CC
58,139,CC(C)C(C(CC)C)C
59,136.73,CC(C)C(C(C)C)CC
60,131.3,CC(C)C(CC(C)C)C
61,140.5,CC(C)C(CCCC)C
62,138,C(C)C(C(C)C)CCC
63,140.1,CC(CC)C(CCC)C
64,140.4,C(C)C(CC)C(CC)C
65,133.5,CC(C)CC(CCC)C
66,133.8,C(C)C(CC(C)C)CC
67,136,CC(CC)CC(CC)C
68,136,CC(C)CCC(CC)C
69,135.2,CC(C)CCCC(C)C
70,142.8,CC(C)CCCCCC
71,143.3,CC(CC)CCCCC
72,142.4,CC(CCC)CCCC
73,143,C(C)C(CC)CCCC
74,141.2,C(C)C(CCC)CCC
75,150.77,CCCCCCCCC
76,166.05,CC(C)(C(C(C)C)(C)C)C
77,158,CC(C)(C(CCC)(C)C)C
78,168,C(C)C(C(C)(C)C)(CC)C
79,170.5,CC(CC)(C(CC)(C)C)C
80,159.29,CC(C)(C(C(C)(C)C)C)C
81,154.9,CC(C)(C(C(CC)C)C)C
